title,year,genre,duration
La moglie del fattore,1928,Comedy,100
Oasi dell'amore,1928,Drama,88
Tastatemi il polso,1928,Comedy,63
I quattro diavoli,1928,Drama,100
The Four Feathers,1929,Adventure,81
L'ultima gioia,1928,Drama,100
Quattro mura,1928,Drama,60
Eden palace,1928,Comedy,79
Sesso Incatenato,1928,Drama,107
Capitan Barbablù,1928,Action,78
La casa del boia,1928,Drama,80
Heimkehr,1928,Drama,78
High Treason,1929,Sci-Fi,95
Jûjiro,1928,Drama,81
L'avventuriera,1928,Comedy,78
Crepuscolo di gloria,1928,Drama,88
Ridi pagliaccio,1928,Drama,73
Lights of New York,1928,Crime,57
Le sette aquile,1928,Drama,80
Primo amore,1928,Comedy,69
Maldone,1928,Drama,102
L'uomo che ride,1928,Drama,110
Il teatro di Minnie,1928,Comedy,66
The Mating Call,1928,Drama,72
La canzone della mamma,1927,Drama,75
Moulin Rouge,1928,Drama,137
La donna misteriosa,1928,Drama,96
Le nostre sorelle di danza,1928,Drama,85
La passione di Giovanna d'Arco,1928,Biography,110
Fascino biondo,1928,Comedy,78
Tempeste sull'Asia,1928,Drama,127
Il potere della stampa,1928,Drama,62
The Racket,1928,Crime,84
La danzatrice rossa,1928,Drama,103
Riley the Cop,1928,Comedy,68
Rose-Marie,1928,Drama,70
Tristana e la maschera,1928,Drama,97
Shiraz,1928,Drama,97
Maschere di celluloide,1928,Comedy,83
Il cantante pazzo,1928,Musical,105
The Smart Set,1928,Comedy,80
A rotta di collo,1928,Action,85
L'inafferrabile,1928,Romance,150
Io... e il ciclone,1928,Action,70
L'angelo della strada,1928,Drama,102
Femmine del mare,1928,Action,93
Nella tempesta,1928,Drama,102
Quella certa cosa,1928,Comedy,69
Tire au flanc,1928,Comedy,87
The Trail of '98,1928,Action,87
Underground,1928,Drama,84
I vichinghi,1928,Action,90
Nel gorgo del peccato,1927,Drama,94
Il fiume stanco,1929,Drama,86
Sinfonia nuziale,1928,Drama,113
La serpe di Zanzibar,1928,Drama,65
Mentre la città dorme,1928,Crime,66
Ombre bianche,1928,Drama,88
Il vento,1928,Drama,95
Il destino,1928,Drama,98
Il cadavere vivente,1929,Drama,82
Zvenigora,1928,Drama,68
La aldea maldita,1930,Drama,57
Alibi,1929,Crime,91
Applause,1929,Drama,80
L'argent,1928,Drama,195
Arsenale,1929,Drama,90
Asfalto,1929,Crime,90
Atlantic,1929,Drama,87
Behind That Curtain,1929,Mystery,91
Big News,1929,Comedy,75
La guardia nera,1929,Adventure,93
Ricatto,1929,Crime,85
Broadway,1929,Crime,104
Ragazze d'America,1929,Drama,86
La canzone di Broadway,1929,Drama,100
Cercasi avventura,1929,Drama,90
La Canarina Assassinata,1929,Crime,82
Le capitaine Fracasse,1929,Adventure,92
The Cocoanuts,1929,Comedy,96
L'isola del diavolo,1929,Drama,86
Coquette,1929,Drama,76
Daigaku wa detakeredo,1929,Comedy,70
La danza della vita,1929,Drama,115
Funamboli,1929,Drama,75
Notti nel deserto,1929,Adventure,62
Il tenente di Napoleone,1929,Music,97
Disraeli,1929,Biography,90
Trafalgar,1928,Drama,99
The Duke Steps Out,1929,Comedy,62
Dinamite,1929,Drama,129
Erotikon,1929,Drama,85
La valanga,1929,Drama,71
Evangelina,1929,Drama,87
Diavoli volanti,1929,Action,110
La flotta del cielo,1929,Adventure,100
The Flying Scotsman,1929,Crime,50
Una donna nella luna,1929,Comedy,156
Fräulein Else,1929,Drama,90
The Girl in the Show,1929,Comedy,82
Glorifying the American Girl,1929,Comedy,95
Donna pagana,1928,Drama,113
Gold Diggers of Broadway,1929,Comedy,101
Goluboy ekspress,1929,Drama,62
Il bandito e la signorina,1929,Action,72
Il gran Gabbo,1929,Drama,92
The Greene Murder Case,1929,Drama,69
Half Marriage,1929,Drama,68
Alleluja!,1929,Drama,109
Gli eroi del deserto,1929,Action,68
Her Private Affair,1929,Drama,70
High Voltage,1929,Crime,63
The Hole in the Wall,1929,Drama,73
Hollywood che canta,1929,Comedy,130
Sette passi verso Satana,1929,Comedy,77
Il bacillo dell'amore,1929,Drama,66
The Idle Rich,1929,Comedy,80
Notte di tradimento,1928,Action,95
The Informer,1929,Drama,83
La maschera di ferro,1929,Adventure,95
La romanza dell'amore,1929,Comedy,93
Il bacio,1929,Romance,62
Laila la figlia del nord,1929,Drama,165
Erik il grande,1929,Drama,60
The Last Warning,1928,Horror,89
L'onestà della signora Cheyney,1929,Comedy,94
The Letter,1929,Drama,65
Linda,1929,Drama,75
La porta chiusa,1929,Drama,74
Il principe consorte,1929,Comedy,107
Trappola d'amore,1929,Comedy,71
La stella della fortuna,1929,Drama,100
